日期,動作,部位描述,8150.TW(N/A)多空,3006.TW(N/A)多空,8150.TW價,3006.TW價,8150.TW口數,3006.TW口數,保證金佔用,Z-Score,交易成本,損益,開倉Z
2022-01-13,[網格1] 開倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,做空,做多,40.05,125.29,3,1,66264.0,-2.09,130.0,0.0,
2022-01-19,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),37.31,125.29,3,1,0.0,-1.45,129.0,16263.0,-2.09
2022-01-20,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 10口 / 做多3006.TW(N/A) 3口,做空,做多,37.82,126.59,10,3,204652.0,-1.51,420.0,0.0,
2022-02-16,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 10口 / 做多3006.TW(N/A) 3口,平倉(買回),平倉(賣出),36.65,134.83,10,3,0.0,-0.04,421.0,72419.0,-1.51
2022-02-25,[網格1] 開倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,做空,做多,40.59,124.42,3,1,66473.0,-2.28,130.0,0.0,
2022-03-03,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),40.44,148.7,3,1,72901.0,0.45,131.0,49360.0,-2.28
2022-04-12,[網格1] 開倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,做空,做多,37.47,115.32,3,1,61486.0,-2.18,129.0,0.0,
2022-04-20,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),37.74,107.95,3,1,0.0,-2.36,129.0,-16508.0,-2.18
2022-04-21,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,做空,做多,37.86,115.32,3,1,61802.0,-1.56,129.0,0.0,
2022-05-18,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),37.35,104.91,3,1,0.0,-1.3,129.0,-17893.0,-1.56
2022-05-19,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 11口 / 做多3006.TW(N/A) 4口,做空,做多,37.74,103.61,11,4,223996.0,-1.43,483.0,0.0,
2022-06-15,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 11口 / 做多3006.TW(N/A) 4口,平倉(買回),平倉(賣出),38.95,93.64,11,4,0.0,-1.61,482.0,-106869.0,-1.43
2022-06-16,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 7口 / 做多3006.TW(N/A) 3口,做空,做多,38.02,90.61,7,3,145241.0,-1.59,322.0,0.0,
2022-07-11,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 7口 / 做多3006.TW(N/A) 3口,平倉(買回),平倉(賣出),29.27,76.71,7,3,117458.0,0.04,317.0,38700.0,-1.59
2022-10-19,[網格1] 開倉(做多配對),做空8150.TW(N/A) 9口 / 做多3006.TW(N/A) 4口,做空,做多,27.89,62.51,9,4,135285.0,-2.02,410.0,0.0,
2022-11-11,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 9口 / 做多3006.TW(N/A) 4口,平倉(買回),平倉(賣出),28.06,67.75,9,4,141365.0,0.66,411.0,38408.0,-2.02
2022-11-17,[網格1] 開倉(做空配對),做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,做多,做空,29.32,75.09,5,2,80123.0,2.02,222.0,0.0,
2022-11-29,[網格1] 停利平倉(做空配對),停利平倉: 做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,平倉(賣出),平倉(買回),28.75,68.13,5,2,75609.0,-0.19,221.0,21991.0,2.02
2022-12-30,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,28.93,61.94,2,1,32344.0,-2.27,95.0,0.0,
2023-01-06,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),28.8,67.66,2,1,33817.0,0.01,95.0,11858.0,-2.27
2023-04-12,[網格1] 開倉(做空配對),做多8150.TW(N/A) 8口 / 做空3006.TW(N/A) 3口,做多,做空,33.81,90.91,8,3,146654.0,2.88,352.0,0.0,
2023-04-19,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 8口 / 做空3006.TW(N/A) 3口,平倉(賣出),平倉(買回),32.99,83.38,8,3,0.0,0.95,351.0,31691.0,2.88
2023-05-04,[網格1] 開倉(做多配對),做空8150.TW(N/A) 9口 / 做多3006.TW(N/A) 4口,做空,做多,32.42,71.94,9,4,156489.0,-2.31,413.0,0.0,
2023-05-17,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 9口 / 做多3006.TW(N/A) 4口,平倉(買回),平倉(賣出),33.24,78.9,9,4,0.0,-0.3,415.0,40468.0,-2.31
2023-08-07,[網格1] 開倉(做多配對),做空8150.TW(N/A) 11口 / 做多3006.TW(N/A) 5口,做空,做多,34.28,75.42,11,5,203614.0,-2.48,510.0,0.0,
2023-08-14,[網格2] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,33.54,66.55,2,1,225544.0,-3.63,95.0,0.0,
2023-08-16,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 11口 / 做多3006.TW(N/A) 5口,平倉(買回),平倉(賣出),32.81,68.4,11,5,0.0,-2.06,508.0,-38363.0,-2.48
2023-08-16,[網格2] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),32.81,68.4,2,1,0.0,-2.06,95.0,6544.0,-3.63
2023-08-17,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,32.9,69.67,2,1,36576.0,-1.71,95.0,0.0,
2023-08-17,[網格2] 轉倉開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,32.9,69.67,2,1,36576.0,-1.71,95.0,0.0,
2023-09-14,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),35.79,82.24,2,1,83062.0,0.27,96.0,13481.0,-1.71
2023-09-14,[網格2] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),35.79,82.24,2,1,83062.0,0.27,96.0,13481.0,-1.71
2023-10-03,[網格1] 開倉(做空配對),做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,做多,做空,34.78,87.7,5,2,94309.0,2.21,224.0,0.0,
2023-10-18,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,平倉(賣出),平倉(買回),36.66,90.43,5,2,0.0,1.07,225.0,7674.0,2.21
2023-10-19,[網格1] 轉倉開倉(做空配對),做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,做多,做空,36.29,89.65,5,2,97406.0,1.1,224.0,0.0,
2023-10-25,[網格1] 停利平倉(做空配對),停利平倉: 做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,平倉(賣出),平倉(買回),38.54,88.67,5,2,99915.0,-0.18,225.0,26156.0,1.1
2023-11-07,[網格1] 開倉(做空配對),做多8150.TW(N/A) 8口 / 做空3006.TW(N/A) 3口,做多,做空,34.28,91.5,8,3,148147.0,2.1,352.0,0.0,
2023-11-15,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 8口 / 做空3006.TW(N/A) 3口,平倉(賣出),平倉(買回),35.42,92.67,8,3,0.0,1.4,352.0,10985.0,2.1
2023-11-16,[網格1] 轉倉開倉(做空配對),做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,做多,做空,35.28,92.18,5,2,97411.0,1.34,224.0,0.0,
2023-12-01,[網格1] 停利平倉(做空配對),停利平倉: 做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,平倉(賣出),平倉(買回),37.72,90.13,5,2,99589.0,-0.36,225.0,32279.0,1.34
2024-03-06,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,42.81,91.79,2,1,47900.0,-2.73,97.0,0.0,
2024-03-07,[網格2] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,43.27,89.26,2,1,94928.0,-3.36,97.0,0.0,
2024-03-20,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),45.98,82.34,2,1,0.0,-2.79,97.0,-31664.0,-2.73
2024-03-20,[網格2] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),45.98,82.34,2,1,0.0,-2.79,97.0,-24762.0,-3.36
2024-03-21,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,46.8,85.26,2,1,48293.0,-2.54,97.0,0.0,
2024-03-21,[網格2] 轉倉開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,46.8,85.26,2,1,48293.0,-2.54,97.0,0.0,
2024-04-17,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),43.54,79.9,2,1,0.0,-1.09,97.0,2216.0,-2.54
2024-04-17,[網格2] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),43.54,79.9,2,1,0.0,-1.09,97.0,2216.0,-2.54
2024-04-18,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,42.99,80.0,2,1,44816.0,-0.9,97.0,0.0,
2024-04-18,[網格2] 轉倉開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,42.99,80.0,2,1,44816.0,-0.9,97.0,0.0,
2024-04-30,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),42.12,86.72,2,1,92321.0,0.16,97.0,16837.0,-0.9
2024-04-30,[網格2] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),42.12,86.72,2,1,92321.0,0.16,97.0,16837.0,-0.9
2024-08-13,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,38.19,78.31,2,1,41766.0,-2.04,96.0,0.0,
2024-08-16,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),35.89,80.27,2,1,41056.0,0.42,96.0,13001.0,-2.04
2024-09-02,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,36.8,75.47,2,1,40250.0,-2.01,96.0,0.0,
2024-09-18,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),35.18,68.12,2,1,0.0,-1.78,96.0,-8297.0,-2.01
2024-09-19,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,35.37,69.29,2,1,37809.0,-1.59,96.0,0.0,
2024-10-16,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),35.08,67.63,2,1,0.0,-1.23,96.0,-2281.0,-1.59
2024-10-17,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,34.84,69.49,2,1,37578.0,-0.52,96.0,0.0,
2024-11-06,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),33.07,67.63,2,1,36120.0,0.79,95.0,3254.0,-0.52
2024-11-11,[網格1] 開倉(做空配對),做多8150.TW(N/A) 2口 / 做空3006.TW(N/A) 1口,做多,做空,31.98,69.78,2,1,36109.0,2.19,95.0,0.0,
2024-11-20,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 2口 / 做空3006.TW(N/A) 1口,平倉(賣出),平倉(買回),30.64,61.36,2,1,0.0,0.81,95.0,11410.0,2.19
2025-03-03,[網格1] 開倉(做空配對),做多8150.TW(N/A) 2口 / 做空3006.TW(N/A) 1口,做多,做空,29.78,64.59,2,1,33519.0,2.26,95.0,0.0,
2025-03-12,[網格2] 開倉(做空配對),做多8150.TW(N/A) 7口 / 做空3006.TW(N/A) 3口,做多,做空,29.54,67.63,7,3,144815.0,3.02,316.0,0.0,
2025-03-19,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 2口 / 做空3006.TW(N/A) 1口,平倉(賣出),平倉(買回),29.44,64.79,2,1,0.0,1.52,95.0,-1825.0,2.26
