日期,動作,部位描述,2606.TW(N/A)多空,2603.TW(N/A)多空,2606.TW價,2603.TW價,2606.TW口數,2603.TW口數,保證金佔用,Z-Score,交易成本,損益,開倉Z
2022-02-21,[網格1] 開倉(做空配對),做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 1口,做多,做空,48.51,138.66,3,1,76734.0,2.13,131.0,0.0,
2022-03-10,[網格1] 停利平倉(做空配對),停利平倉: 做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 1口,平倉(賣出),平倉(買回),52.08,147.15,3,1,81920.0,-0.91,132.0,4326.0,2.13
2022-04-19,[網格1] 開倉(做多配對),做空2606.TW(N/A) 5口 / 做多2603.TW(N/A) 2口,做空,做多,51.45,133.48,5,2,141533.0,-2.45,231.0,0.0,
2022-04-20,[網格1] 結算平倉(做多配對),做空2606.TW(N/A) 5口 / 做多2603.TW(N/A) 2口,平倉(買回),平倉(賣出),52.32,135.36,5,2,0.0,-2.28,231.0,-1419.0,-2.45
2022-04-21,[網格1] 轉倉開倉(做多配對),做空2606.TW(N/A) 5口 / 做多2603.TW(N/A) 2口,做空,做多,55.18,137.25,5,2,148609.0,-2.8,232.0,0.0,
2022-05-03,[網格1] 停利平倉(做多配對),停利平倉: 做空2606.TW(N/A) 5口 / 做多2603.TW(N/A) 2口,平倉(買回),平倉(賣出),50.34,138.19,5,2,142580.0,0.15,231.0,51974.0,-2.8
2022-06-07,[網格1] 開倉(做空配對),做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 1口,做多,做空,45.89,136.31,3,1,73975.0,2.19,131.0,0.0,
2022-06-15,[網格1] 結算平倉(做空配對),做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 1口,平倉(賣出),平倉(買回),43.35,120.74,3,1,0.0,0.83,130.0,15754.0,2.19
2022-08-08,[網格1] 開倉(做空配對),做多2606.TW(N/A) 10口 / 做空2603.TW(N/A) 3口,做多,做空,34.82,114.22,10,3,186543.0,2.12,418.0,0.0,
2022-08-17,[網格1] 結算平倉(做空配對),做多2606.TW(N/A) 10口 / 做空2603.TW(N/A) 3口,平倉(賣出),平倉(買回),36.1,111.17,10,3,0.0,-0.07,418.0,43446.0,2.12
2022-09-14,[網格1] 開倉(做多配對),做空2606.TW(N/A) 8口 / 做多2603.TW(N/A) 3口,做空,做多,33.93,91.38,8,3,147304.0,-3.08,352.0,0.0,
2022-09-14,[網格2] 開倉(做多配對),做空2606.TW(N/A) 8口 / 做多2603.TW(N/A) 3口,做空,做多,33.93,91.38,8,3,147304.0,-3.08,352.0,0.0,
2022-09-21,[網格1] 結算平倉(做多配對),做空2606.TW(N/A) 8口 / 做多2603.TW(N/A) 3口,平倉(買回),平倉(賣出),34.99,75.32,8,3,0.0,-2.54,350.0,-113732.0,-3.08
2022-09-21,[網格2] 結算平倉(做多配對),做空2606.TW(N/A) 8口 / 做多2603.TW(N/A) 3口,平倉(買回),平倉(賣出),34.99,75.32,8,3,0.0,-2.54,350.0,-113732.0,-3.08
2022-09-22,[網格1] 轉倉開倉(做多配對),做空2606.TW(N/A) 2口 / 做多2603.TW(N/A) 1口,做空,做多,34.44,70.57,2,1,37651.0,-2.22,96.0,0.0,
2022-09-22,[網格2] 轉倉開倉(做多配對),做空2606.TW(N/A) 2口 / 做多2603.TW(N/A) 1口,做空,做多,34.44,70.57,2,1,37651.0,-2.22,96.0,0.0,
2022-10-11,[網格1] 停利平倉(做多配對),停利平倉: 做空2606.TW(N/A) 2口 / 做多2603.TW(N/A) 1口,平倉(買回),平倉(賣出),32.14,70.57,2,1,72820.0,0.14,95.0,9100.0,-2.22
2022-10-11,[網格2] 停利平倉(做多配對),停利平倉: 做空2606.TW(N/A) 2口 / 做多2603.TW(N/A) 1口,平倉(買回),平倉(賣出),32.14,70.57,2,1,72820.0,0.14,95.0,9100.0,-2.22
2022-11-07,[網格1] 開倉(做多配對),做空2606.TW(N/A) 2口 / 做多2603.TW(N/A) 1口,做空,做多,32.18,64.91,2,1,34906.0,-2.37,95.0,0.0,
2022-11-16,[網格1] 結算平倉(做多配對),做空2606.TW(N/A) 2口 / 做多2603.TW(N/A) 1口,平倉(買回),平倉(賣出),36.74,69.89,2,1,0.0,-2.58,96.0,-8364.0,-2.37
2022-11-17,[網格1] 轉倉開倉(做多配對),做空2606.TW(N/A) 2口 / 做多2603.TW(N/A) 1口,做空,做多,36.99,69.66,2,1,38786.0,-2.25,96.0,0.0,
2022-12-21,[網格1] 結算平倉(做多配對),做空2606.TW(N/A) 2口 / 做多2603.TW(N/A) 1口,平倉(買回),平倉(賣出),42.1,74.19,2,1,0.0,-1.03,96.0,-11483.0,-2.25
2022-12-22,[網格1] 轉倉開倉(做多配對),做空2606.TW(N/A) 7口 / 做多2603.TW(N/A) 4口,做空,做多,44.19,77.58,7,4,167305.0,-1.87,355.0,0.0,
2022-12-30,[網格1] 停利平倉(做多配對),停利平倉: 做空2606.TW(N/A) 7口 / 做多2603.TW(N/A) 4口,平倉(買回),平倉(賣出),41.38,73.74,7,4,157842.0,0.08,353.0,8222.0,-1.87
2023-01-30,[網格1] 開倉(做多配對),做空2606.TW(N/A) 3口 / 做多2603.TW(N/A) 2口,做空,做多,43.25,68.08,3,2,71798.0,-2.13,161.0,0.0,
2023-02-15,[網格1] 結算平倉(做多配對),做空2606.TW(N/A) 3口 / 做多2603.TW(N/A) 2口,平倉(買回),平倉(賣出),44.19,66.27,3,2,0.0,-1.33,161.0,-13018.0,-2.13
2023-02-16,[網格1] 轉倉開倉(做多配對),做空2606.TW(N/A) 3口 / 做多2603.TW(N/A) 2口,做空,做多,43.76,66.95,3,2,71601.0,-0.85,161.0,0.0,
2023-02-17,[網格1] 停利平倉(做多配對),停利平倉: 做空2606.TW(N/A) 3口 / 做多2603.TW(N/A) 2口,平倉(買回),平倉(賣出),42.4,66.05,3,2,70009.0,0.14,160.0,4395.0,-0.85
2023-02-24,[網格1] 開倉(做多配對),做空2606.TW(N/A) 4口 / 做多2603.TW(N/A) 3口,做空,做多,51.94,71.02,4,3,113619.0,-3.56,227.0,0.0,
2023-02-24,[網格2] 開倉(做多配對),做空2606.TW(N/A) 4口 / 做多2603.TW(N/A) 3口,做空,做多,51.94,71.02,4,3,113619.0,-3.56,227.0,0.0,
2023-03-13,[網格1] 停利平倉(做多配對),停利平倉: 做空2606.TW(N/A) 4口 / 做多2603.TW(N/A) 3口,平倉(買回),平倉(賣出),48.79,77.13,4,3,230328.0,0.01,227.0,61617.0,-3.56
2023-03-13,[網格2] 停利平倉(做多配對),停利平倉: 做空2606.TW(N/A) 4口 / 做多2603.TW(N/A) 3口,平倉(買回),平倉(賣出),48.79,77.13,4,3,230328.0,0.01,227.0,61617.0,-3.56
2023-04-26,[網格1] 開倉(做空配對),做多2606.TW(N/A) 5口 / 做空2603.TW(N/A) 3口,做多,做空,44.19,72.38,5,3,118282.0,2.49,258.0,0.0,
2023-05-10,[網格1] 停利平倉(做空配對),停利平倉: 做多2606.TW(N/A) 5口 / 做空2603.TW(N/A) 3口,平倉(賣出),平倉(買回),46.91,70.12,5,3,120128.0,-0.85,258.0,40559.0,2.49
2023-05-25,[網格1] 開倉(做空配對),做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 2口,做多,做空,43.25,67.85,3,2,71676.0,2.05,161.0,0.0,
2023-05-26,[網格2] 開倉(做空配對),做多2606.TW(N/A) 5口 / 做空2603.TW(N/A) 3口,做多,做空,41.76,68.99,5,3,183338.0,3.06,257.0,0.0,
2023-06-21,[網格1] 結算平倉(做空配對),做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 2口,平倉(賣出),平倉(買回),40.95,71.47,3,2,0.0,1.35,161.0,-28429.0,2.05
2023-06-21,[網格2] 結算平倉(做空配對),做多2606.TW(N/A) 5口 / 做空2603.TW(N/A) 3口,平倉(賣出),平倉(買回),40.95,71.47,5,3,0.0,1.35,257.0,-23273.0,3.06
2023-06-26,[網格1] 轉倉開倉(做空配對),做多2606.TW(N/A) 7口 / 做空2603.TW(N/A) 4口,做多,做空,41.25,72.38,7,4,156135.0,1.27,353.0,0.0,
2023-06-26,[網格2] 轉倉開倉(做空配對),做多2606.TW(N/A) 7口 / 做空2603.TW(N/A) 4口,做多,做空,41.25,72.38,7,4,156135.0,1.27,353.0,0.0,
2023-07-19,[網格1] 結算平倉(做空配對),做多2606.TW(N/A) 7口 / 做空2603.TW(N/A) 4口,平倉(賣出),平倉(買回),38.78,80.92,7,4,0.0,0.95,354.0,-103318.0,1.27
2023-07-19,[網格2] 結算平倉(做空配對),做多2606.TW(N/A) 7口 / 做空2603.TW(N/A) 4口,平倉(賣出),平倉(買回),38.78,80.92,7,4,0.0,0.95,354.0,-103318.0,1.27
2023-07-20,[網格1] 轉倉開倉(做空配對),做多2606.TW(N/A) 2口 / 做空2603.TW(N/A) 1口,做多,做空,39.41,83.31,2,1,43779.0,0.81,96.0,0.0,
2023-07-20,[網格2] 轉倉開倉(做空配對),做多2606.TW(N/A) 2口 / 做空2603.TW(N/A) 1口,做多,做空,39.41,83.31,2,1,43779.0,0.81,96.0,0.0,
2023-08-11,[網格1] 停利平倉(做空配對),停利平倉: 做多2606.TW(N/A) 2口 / 做空2603.TW(N/A) 1口,平倉(賣出),平倉(買回),40.14,89.09,2,1,91458.0,-0.32,97.0,-8746.0,0.81
