Industry,Pair,Sharpe,Total Return %,MDD %,Win Rate %,Trades,Coint P-Value,Parameters
半導體業,2340.TW_6271.TW,0.99,402.35216244567863,41.98722750088819,70.37037037037037,54,0.4869,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6488.TWO_2401.TW,1.24,779.5460023190309,48.395366545830285,68.29268292682927,82,0.9652,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6488.TWO_2401.TW,1.02,488.1019042481079,49.49503114914384,67.24137931034483,58,0.9652,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6488.TWO_2379.TW,0.88,626.123857081787,77.99413437779931,55.769230769230774,52,0.8483,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6223.TWO_3711.TW,1.05,767.5735380263976,60.211026425958615,63.793103448275865,58,0.156,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6182.TWO_3227.TWO,1.21,533.0355189853818,26.34764382659649,64.63414634146342,82,0.9062,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6271.TW_3006.TW,1.19,823.6708678046572,47.99412078153949,68.0,50,0.02,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,3105.TWO_3260.TWO,0.75,447.96999405439743,83.84746211057023,56.00000000000001,50,0.5,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6257.TW_3711.TW,1.21,338.007828430893,18.247042017835412,73.23943661971832,71,0.1353,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6257.TW_3711.TW,1.15,271.8664656169891,19.42372854268825,69.0909090909091,55,0.1353,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,8150.TW_3006.TW,1.41,898.2839316327058,26.350148428248332,64.0,50,0.0743,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,3532.TW_2481.TW,1.35,1357.0643793526,51.59541482678585,58.620689655172406,58,0.6568,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,2344.TW_3260.TWO,1.43,893.8866874285999,21.834104696400615,70.12987012987013,77,0.0092,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6223.TWO_2379.TW,0.93,868.4118060949708,71.31279745029649,57.8125,64,0.8521,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,2344.TW_8299.TWO,1.25,424.2578897398757,25.754613606667732,69.0909090909091,55,0.5153,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,3034.TW_6271.TW,1.01,363.9343956397706,34.32774921577828,65.51724137931035,58,0.8533,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6257.TW_6223.TWO,1.01,856.6722522308349,62.93382047562,57.49999999999999,80,0.0127,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,3532.TW_3189.TW,0.98,657.6148151433105,65.0739854771318,64.28571428571429,56,0.2846,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6488.TWO_2481.TW,1.5,1710.3121718616944,41.50946264171358,73.58490566037736,53,0.3946,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,3105.TWO_3006.TW,1.0,601.5942667612455,38.538584950599095,70.83333333333334,48,0.0093,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,3532.TW_2401.TW,1.06,549.577442680832,30.664351534938174,63.095238095238095,84,0.9274,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
塑膠工業,1303.TW_1312.TW,1.06,373.1146899598807,28.24724268217062,64.70588235294117,85,1.0,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
