Industry,Pair,Sharpe,Total Return %,MDD %,Win Rate %,Trades,Coint P-Value,Parameters
半導體業,6223.TWO_5274.TWO,1.62,8303.58190547064,41.55906725726259,73.84615384615385,65,0.0029,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6182.TWO_2401.TW,1.63,53.730061369972226,4.107400847844124,67.44186046511628,86,0.9598,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電腦及週邊設備業,6121.TWO_3005.TW,1.61,124.28479113412419,11.957442216824008,70.78651685393258,89,0.0004,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電腦及週邊設備業,6121.TWO_3005.TW,1.54,134.5028276362455,9.41334236402726,74.46808510638297,47,0.0004,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
