日期,動作,部位描述,1440.TW(N/A)多空,1476.TW(N/A)多空,1440.TW價,1476.TW價,1440.TW口數,1476.TW口數,保證金佔用,Z-Score,交易成本,損益,開倉Z
2022-02-07,[網格1] 開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,22.24,517.33,20,1,259802.0,-2.48,668.0,0.0,
2022-02-16,[網格1] 結算平倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),21.49,520.84,20,1,0.0,0.05,668.0,36721.0,-2.48
2022-03-07,[網格1] 開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,20.19,461.21,20,1,233554.0,-2.26,665.0,0.0,
2022-03-16,[網格1] 結算平倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),20.5,372.22,20,1,0.0,-1.86,661.0,-191165.0,-2.26
2022-03-17,[網格1] 轉倉開倉(做多配對),做空1440.TW(N/A) 18口 / 做多1476.TW(N/A) 1口,做空,做多,20.86,381.42,18,1,204364.0,-1.6,600.0,0.0,
2022-03-31,[網格1] 停利平倉(做多配對),停利平倉: 做空1440.TW(N/A) 18口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),20.9,418.69,18,1,214643.0,0.09,602.0,72321.0,-1.6
2022-04-21,[網格1] 開倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,做多,做空,19.74,427.89,20,1,222146.0,2.64,663.0,0.0,
2022-05-18,[網格1] 結算平倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,平倉(賣出),平倉(買回),17.82,434.03,20,1,0.0,0.48,662.0,-89767.0,2.64
2022-05-19,[網格1] 轉倉開倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,做多,做空,17.42,405.53,20,1,203566.0,-0.49,660.0,0.0,
2022-05-19,[網格1] 停利平倉(做空配對),停利平倉: 做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,平倉(賣出),平倉(買回),17.42,405.53,20,1,0.0,-0.49,660.0,-89766.0,-0.49
2022-06-29,[網格1] 開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,17.64,383.18,20,1,198735.0,-2.27,659.0,0.0,
2022-07-08,[網格1] 停利平倉(做多配對),停利平倉: 做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),16.84,384.34,20,1,194708.0,0.11,659.0,33833.0,-2.27
2022-09-01,[網格1] 開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,17.54,391.12,20,1,200299.0,-2.39,660.0,0.0,
2022-09-05,[網格1] 停利平倉(做多配對),停利平倉: 做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),17.16,405.12,20,1,202059.0,0.21,660.0,42306.0,-2.39
2022-09-07,[網格1] 開倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,做多,做空,16.55,413.25,20,1,200971.0,2.33,660.0,0.0,
2022-09-16,[網格1] 停利平倉(做空配對),停利平倉: 做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,平倉(賣出),平倉(買回),17.3,407.83,20,1,203548.0,-0.32,660.0,40108.0,2.33
2022-09-30,[網格1] 開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,15.48,354.08,20,1,179189.0,-2.0,657.0,0.0,
2022-10-13,[網格1] 停利平倉(做多配對),停利平倉: 做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),14.78,355.44,20,1,175766.0,0.19,656.0,30112.0,-2.0
2022-10-26,[網格1] 開倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,做多,做空,15.06,383.44,20,1,184842.0,2.28,657.0,0.0,
2022-11-04,[網格1] 停利平倉(做空配對),停利平倉: 做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,平倉(賣出),平倉(買回),16.04,385.24,20,1,190633.0,-0.15,658.0,35011.0,2.28
2022-12-06,[網格1] 開倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,做多,做空,16.04,427.7,20,1,202095.0,2.65,660.0,0.0,
2022-12-13,[網格1] 停利平倉(做空配對),停利平倉: 做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,平倉(賣出),平倉(買回),16.09,407.37,20,1,196860.0,-0.34,659.0,41859.0,2.65
2023-03-03,[網格1] 開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,16.79,420.47,20,1,204185.0,-2.49,660.0,0.0,
2023-03-15,[網格1] 結算平倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),15.76,412.34,20,1,0.0,-0.43,659.0,24235.0,-2.49
2023-03-27,[網格1] 開倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,做多,做空,15.71,430.86,20,1,201181.0,2.03,660.0,0.0,
2023-04-19,[網格1] 結算平倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,平倉(賣出),平倉(買回),15.85,443.05,20,1,0.0,0.61,660.0,-19437.0,2.03
2023-04-20,[網格1] 轉倉開倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,做多,做空,15.71,438.54,20,1,203254.0,0.39,660.0,0.0,
2023-04-25,[網格1] 停利平倉(做空配對),停利平倉: 做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,平倉(賣出),平倉(買回),15.62,431.31,20,1,200798.0,-0.75,660.0,10051.0,0.39
2023-05-03,[網格1] 開倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,做多,做空,15.71,451.63,20,1,206790.0,2.89,661.0,0.0,
2023-05-08,[網格1] 停利平倉(做空配對),停利平倉: 做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,平倉(賣出),平倉(買回),15.76,439.89,20,1,203873.0,-0.14,660.0,24695.0,2.89
2023-05-12,[網格1] 開倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,做多,做空,14.96,435.38,20,1,198360.0,2.11,659.0,0.0,
2023-05-17,[網格1] 結算平倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,平倉(賣出),平倉(買回),15.29,433.12,20,1,0.0,0.05,660.0,16951.0,2.11
2023-05-25,[網格1] 開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,15.15,415.5,20,1,194005.0,-2.46,659.0,0.0,
