日期,動作,部位描述,3045.TW(N/A)多空,2412.TW(N/A)多空,3045.TW價,2412.TW價,3045.TW口數,2412.TW口數,保證金佔用,Z-Score,交易成本,損益,開倉Z
2022-01-03,[網格1] 開倉(做多配對),做空3045.TW(N/A) 1口 / 做多2412.TW(N/A) 1口,做空,做多,85.4,99.22,1,1,49848.0,-2.53,67.0,0.0,
2022-01-04,[網格1] 停利平倉(做多配對),停利平倉: 做空3045.TW(N/A) 1口 / 做多2412.TW(N/A) 1口,平倉(買回),平倉(賣出),84.3,99.22,1,1,49550.0,0.62,67.0,2142.0,-2.53
2022-01-26,[網格1] 開倉(做空配對),做多3045.TW(N/A) 6口 / 做空2412.TW(N/A) 5口,做多,做空,84.72,100.94,6,5,273516.0,2.17,371.0,0.0,
2022-02-09,[網格1] 停利平倉(做空配對),停利平倉: 做多3045.TW(N/A) 6口 / 做空2412.TW(N/A) 5口,平倉(賣出),平倉(買回),86.68,101.8,6,5,277842.0,-1.55,371.0,14493.0,2.17
2022-02-10,[網格1] 開倉(做多配對),做空3045.TW(N/A) 7口 / 做多2412.TW(N/A) 6口,做空,做多,87.95,102.65,7,6,332531.0,-2.58,439.0,0.0,
2022-02-16,[網格1] 結算平倉(做多配對),做空3045.TW(N/A) 7口 / 做多2412.TW(N/A) 6口,平倉(買回),平倉(賣出),89.23,103.94,7,6,0.0,-2.26,440.0,-2823.0,-2.58
2022-02-17,[網格1] 轉倉開倉(做多配對),做空3045.TW(N/A) 6口 / 做多2412.TW(N/A) 5口,做空,做多,89.23,104.37,6,5,285451.0,-1.55,372.0,0.0,
2022-02-24,[網格1] 停利平倉(做多配對),停利平倉: 做空3045.TW(N/A) 6口 / 做多2412.TW(N/A) 5口,平倉(買回),平倉(賣出),89.23,106.95,6,5,288931.0,1.47,373.0,25398.0,-1.55
2022-02-25,[網格1] 開倉(做空配對),做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,做多,做空,87.95,106.95,5,4,234242.0,2.56,305.0,0.0,
2022-03-02,[網格1] 停利平倉(做空配對),停利平倉: 做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,平倉(賣出),平倉(買回),90.08,106.09,5,4,236182.0,-0.65,305.0,27812.0,2.56
2022-03-18,[網格1] 開倉(做空配對),做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,做多,做空,89.23,108.67,5,4,237818.0,2.25,305.0,0.0,
2022-04-12,[網格1] 停利平倉(做空配對),停利平倉: 做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,平倉(賣出),平倉(買回),90.93,110.39,5,4,241968.0,-0.05,306.0,2945.0,2.25
2022-04-15,[網格1] 開倉(做空配對),做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,做多,做空,89.65,111.24,5,4,241175.0,2.1,306.0,0.0,
2022-04-20,[網格1] 結算平倉(做空配對),做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,平倉(賣出),平倉(買回),92.2,112.53,5,4,0.0,-0.74,306.0,14879.0,2.1
2022-05-04,[網格1] 開倉(做多配對),做空3045.TW(N/A) 6口 / 做多2412.TW(N/A) 5口,做空,做多,89.65,106.52,6,5,289039.0,-2.49,373.0,0.0,
2022-05-18,[網格1] 結算平倉(做多配對),做空3045.TW(N/A) 6口 / 做多2412.TW(N/A) 5口,平倉(買回),平倉(賣出),91.35,107.38,6,5,0.0,-1.24,373.0,-12178.0,-2.49
2022-05-19,[網格1] 轉倉開倉(做多配對),做空3045.TW(N/A) 1口 / 做多2412.TW(N/A) 1口,做空,做多,91.78,106.95,1,1,53656.0,-1.55,68.0,0.0,
2022-05-30,[網格1] 停利平倉(做多配對),停利平倉: 做空3045.TW(N/A) 1口 / 做多2412.TW(N/A) 1口,平倉(買回),平倉(賣出),91.78,109.1,1,1,54236.0,0.41,68.0,4227.0,-1.55
2022-06-22,[網格1] 開倉(做多配對),做空3045.TW(N/A) 6口 / 做多2412.TW(N/A) 5口,做空,做多,92.2,107.81,6,5,294909.0,-2.05,374.0,0.0,
2022-06-27,[網格1] 停利平倉(做多配對),停利平倉: 做空3045.TW(N/A) 6口 / 做多2412.TW(N/A) 5口,平倉(買回),平倉(賣出),93.05,110.39,6,5,299764.0,0.05,374.0,15199.0,-2.05
2022-07-04,[網格1] 開倉(做空配對),做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,做多,做空,93.05,112.64,5,4,247276.0,2.48,307.0,0.0,
2022-07-12,[網格1] 停利平倉(做空配對),停利平倉: 做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,平倉(賣出),平倉(買回),92.04,109.08,5,4,242067.0,-0.45,306.0,18098.0,2.48
2022-07-19,[網格1] 開倉(做空配對),做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,做多,做空,87.71,108.19,5,4,235251.0,2.01,305.0,0.0,
2022-07-20,[網格1] 結算平倉(做空配對),做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,平倉(賣出),平倉(買回),86.91,106.86,5,4,0.0,1.68,304.0,2416.0,2.01
2022-09-23,[網格1] 開倉(做多配對),做空3045.TW(N/A) 6口 / 做多2412.TW(N/A) 5口,做空,做多,85.4,102.4,6,5,276602.0,-2.8,371.0,0.0,
2022-10-14,[網格1] 停利平倉(做多配對),停利平倉: 做空3045.TW(N/A) 6口 / 做多2412.TW(N/A) 5口,平倉(買回),平倉(賣出),80.98,97.06,6,5,262220.0,0.53,369.0,-696.0,-2.8
2022-10-26,[網格1] 開倉(做多配對),做空3045.TW(N/A) 1口 / 做多2412.TW(N/A) 1口,做空,做多,83.72,96.62,1,1,48692.0,-2.38,67.0,0.0,
2022-11-15,[網格1] 停利平倉(做多配對),停利平倉: 做空3045.TW(N/A) 1口 / 做多2412.TW(N/A) 1口,平倉(買回),平倉(賣出),83.19,97.06,1,1,48669.0,0.12,67.0,1885.0,-2.38
2022-11-17,[網格1] 開倉(做空配對),做多3045.TW(N/A) 6口 / 做空2412.TW(N/A) 5口,做多,做空,81.51,96.17,6,5,261879.0,2.02,369.0,0.0,
2022-12-07,[網格1] 停利平倉(做空配對),停利平倉: 做多3045.TW(N/A) 6口 / 做空2412.TW(N/A) 5口,平倉(賣出),平倉(買回),84.43,100.18,6,5,272020.0,-0.19,370.0,-5395.0,2.02
2022-12-28,[網格1] 開倉(做空配對),做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,做多,做空,83.37,101.51,5,4,222184.0,2.23,303.0,0.0,
2023-01-03,[網格1] 停利平倉(做空配對),停利平倉: 做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,平倉(賣出),平倉(買回),84.43,100.62,5,4,222656.0,-0.1,303.0,17441.0,2.23
2023-02-24,[網格1] 開倉(做空配對),做多3045.TW(N/A) 6口 / 做空2412.TW(N/A) 5口,做多,做空,85.49,102.85,6,5,277346.0,2.13,371.0,0.0,
2023-03-15,[網格1] 結算平倉(做空配對),做多3045.TW(N/A) 6口 / 做空2412.TW(N/A) 5口,平倉(賣出),平倉(買回),86.56,105.97,6,5,0.0,1.67,372.0,-18794.0,2.13
2023-03-16,[網格1] 轉倉開倉(做空配對),做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,做多,做空,87.09,105.97,5,4,232010.0,0.82,304.0,0.0,
2023-03-17,[網格1] 停利平倉(做空配對),停利平倉: 做多3045.TW(N/A) 5口 / 做空2412.TW(N/A) 4口,平倉(賣出),平倉(買回),87.62,105.08,5,4,231766.0,-0.86,304.0,12130.0,0.82
