日期,動作,部位描述,8150.TW(N/A)多空,3006.TW(N/A)多空,8150.TW價,3006.TW價,8150.TW口數,3006.TW口數,保證金佔用,Z-Score,交易成本,損益,開倉Z
2022-01-13,[網格1] 開倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,做空,做多,40.05,125.29,3,1,66264.0,-2.09,130.0,0.0,
2022-01-19,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),37.31,125.29,3,1,0.0,-1.45,129.0,16263.0,-2.09
2022-02-25,[網格1] 開倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,做空,做多,40.59,124.42,3,1,66473.0,-2.28,130.0,0.0,
2022-03-03,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),40.44,148.7,3,1,72901.0,0.45,131.0,49360.0,-2.28
2022-04-12,[網格1] 開倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,做空,做多,37.47,115.32,3,1,61486.0,-2.18,129.0,0.0,
2022-04-20,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),37.74,107.95,3,1,0.0,-2.36,129.0,-16508.0,-2.18
2022-04-21,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,做空,做多,37.86,115.32,3,1,61802.0,-1.56,129.0,0.0,
2022-05-18,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 3口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),37.35,104.91,3,1,0.0,-1.3,129.0,-17893.0,-1.56
2022-05-19,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 11口 / 做多3006.TW(N/A) 4口,做空,做多,37.74,103.61,11,4,223996.0,-1.43,483.0,0.0,
2022-06-15,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 11口 / 做多3006.TW(N/A) 4口,平倉(買回),平倉(賣出),38.95,93.64,11,4,0.0,-1.61,482.0,-106869.0,-1.43
2022-06-16,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 7口 / 做多3006.TW(N/A) 3口,做空,做多,38.02,90.61,7,3,145241.0,-1.59,322.0,0.0,
2022-07-11,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 7口 / 做多3006.TW(N/A) 3口,平倉(買回),平倉(賣出),29.27,76.71,7,3,117458.0,0.04,317.0,38700.0,-1.59
2022-10-19,[網格1] 開倉(做多配對),做空8150.TW(N/A) 9口 / 做多3006.TW(N/A) 4口,做空,做多,27.89,62.51,9,4,135285.0,-2.02,410.0,0.0,
2022-11-11,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 9口 / 做多3006.TW(N/A) 4口,平倉(買回),平倉(賣出),28.06,67.75,9,4,141365.0,0.66,411.0,38408.0,-2.02
2022-11-17,[網格1] 開倉(做空配對),做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,做多,做空,29.32,75.09,5,2,80123.0,2.02,222.0,0.0,
2022-11-29,[網格1] 停利平倉(做空配對),停利平倉: 做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,平倉(賣出),平倉(買回),28.75,68.13,5,2,75609.0,-0.19,221.0,21991.0,2.02
2022-12-30,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,28.93,61.94,2,1,32344.0,-2.27,95.0,0.0,
2023-01-06,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),28.8,67.66,2,1,33817.0,0.01,95.0,11858.0,-2.27
2023-04-12,[網格1] 開倉(做空配對),做多8150.TW(N/A) 8口 / 做空3006.TW(N/A) 3口,做多,做空,33.81,90.91,8,3,146654.0,2.88,352.0,0.0,
2023-04-19,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 8口 / 做空3006.TW(N/A) 3口,平倉(賣出),平倉(買回),32.99,83.38,8,3,0.0,0.95,351.0,31691.0,2.88
2023-05-04,[網格1] 開倉(做多配對),做空8150.TW(N/A) 9口 / 做多3006.TW(N/A) 4口,做空,做多,32.42,71.94,9,4,156489.0,-2.31,413.0,0.0,
2023-05-17,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 9口 / 做多3006.TW(N/A) 4口,平倉(買回),平倉(賣出),33.24,78.9,9,4,0.0,-0.3,415.0,40468.0,-2.31
2023-08-07,[網格1] 開倉(做多配對),做空8150.TW(N/A) 11口 / 做多3006.TW(N/A) 5口,做空,做多,34.28,75.42,11,5,203614.0,-2.48,510.0,0.0,
2023-08-14,[網格1] 停損平倉(做多配對),停損平倉: 做空8150.TW(N/A) 11口 / 做多3006.TW(N/A) 5口,平倉(買回),平倉(賣出),33.54,66.55,11,5,189463.0,-3.63,508.0,-73028.0,-2.48
2023-08-18,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,33.31,68.99,2,1,36615.0,-2.1,95.0,0.0,
2023-09-14,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),35.79,82.24,2,1,41531.0,0.27,96.0,16497.0,-2.1
2023-10-03,[網格1] 開倉(做空配對),做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,做多,做空,34.78,87.7,5,2,94309.0,2.21,224.0,0.0,
2023-10-18,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 5口 / 做空3006.TW(N/A) 2口,平倉(賣出),平倉(買回),36.66,90.43,5,2,0.0,1.07,225.0,7674.0,2.21
2023-11-07,[網格1] 開倉(做空配對),做多8150.TW(N/A) 8口 / 做空3006.TW(N/A) 3口,做多,做空,34.28,91.5,8,3,148147.0,2.1,352.0,0.0,
2023-11-15,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 8口 / 做空3006.TW(N/A) 3口,平倉(賣出),平倉(買回),35.42,92.67,8,3,0.0,1.4,352.0,10985.0,2.1
2024-03-06,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,42.81,91.79,2,1,47900.0,-2.73,97.0,0.0,
2024-03-07,[網格1] 停損平倉(做多配對),停損平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),43.27,89.26,2,1,47464.0,-3.36,97.0,-6999.0,-2.73
2024-03-28,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,46.8,85.26,2,1,48293.0,-2.01,97.0,0.0,
2024-04-17,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),43.54,79.9,2,1,0.0,-1.09,97.0,2216.0,-2.01
2024-08-13,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,38.19,78.31,2,1,41766.0,-2.04,96.0,0.0,
2024-08-16,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),35.89,80.27,2,1,41056.0,0.42,96.0,13001.0,-2.04
2024-09-02,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,36.8,75.47,2,1,40250.0,-2.01,96.0,0.0,
2024-09-18,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),35.18,68.12,2,1,0.0,-1.78,96.0,-8297.0,-2.01
2024-09-19,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,35.37,69.29,2,1,37809.0,-1.59,96.0,0.0,
2024-10-16,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),35.08,67.63,2,1,0.0,-1.23,96.0,-2281.0,-1.59
2024-10-17,[網格1] 轉倉開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,34.84,69.49,2,1,37578.0,-0.52,96.0,0.0,
2024-11-06,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),33.07,67.63,2,1,36120.0,0.79,95.0,3254.0,-0.52
2024-11-11,[網格1] 開倉(做空配對),做多8150.TW(N/A) 2口 / 做空3006.TW(N/A) 1口,做多,做空,31.98,69.78,2,1,36109.0,2.19,95.0,0.0,
2024-11-20,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 2口 / 做空3006.TW(N/A) 1口,平倉(賣出),平倉(買回),30.64,61.36,2,1,0.0,0.81,95.0,11410.0,2.19
2025-03-03,[網格1] 開倉(做空配對),做多8150.TW(N/A) 2口 / 做空3006.TW(N/A) 1口,做多,做空,29.78,64.59,2,1,33519.0,2.26,95.0,0.0,
2025-03-12,[網格1] 停損平倉(做空配對),停損平倉: 做多8150.TW(N/A) 2口 / 做空3006.TW(N/A) 1口,平倉(賣出),平倉(買回),29.54,67.63,2,1,34210.0,3.02,95.0,-7128.0,2.26
2025-05-26,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,27.29,51.85,2,1,28736.0,-2.07,94.0,0.0,
2025-06-18,[網格1] 結算平倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),27.53,59.1,2,1,0.0,0.81,95.0,13455.0,-2.07
2025-08-13,[網格1] 開倉(做空配對),做多8150.TW(N/A) 2口 / 做空3006.TW(N/A) 1口,做多,做空,25.25,54.5,2,1,28350.0,3.2,94.0,0.0,
2025-08-14,[網格1] 停損平倉(做空配對),停損平倉: 做多8150.TW(N/A) 2口 / 做空3006.TW(N/A) 1口,平倉(賣出),平倉(買回),24.7,54.3,2,1,27999.0,3.41,94.0,-1894.0,3.2
2025-09-01,[網格1] 開倉(做空配對),做多8150.TW(N/A) 7口 / 做空3006.TW(N/A) 3口,做多,做空,24.0,57.1,7,3,91611.0,2.02,314.0,0.0,
2025-09-17,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 7口 / 做空3006.TW(N/A) 3口,平倉(賣出),平倉(買回),28.35,67.0,7,3,0.0,1.07,316.0,1184.0,2.02
2025-09-23,[網格1] 開倉(做空配對),做多8150.TW(N/A) 8口 / 做空3006.TW(N/A) 3口,做多,做空,30.45,81.0,8,3,131382.0,2.02,349.0,0.0,
2025-10-15,[網格1] 結算平倉(做空配對),做多8150.TW(N/A) 8口 / 做空3006.TW(N/A) 3口,平倉(賣出),平倉(買回),30.2,80.4,8,3,0.0,1.44,349.0,-749.0,2.02
2025-10-16,[網格1] 轉倉開倉(做空配對),做多8150.TW(N/A) 11口 / 做空3006.TW(N/A) 4口,做多,做空,31.2,86.7,11,4,186300.0,1.86,478.0,0.0,
2025-11-11,[網格1] 停利平倉(做空配對),停利平倉: 做多8150.TW(N/A) 11口 / 做空3006.TW(N/A) 4口,平倉(賣出),平倉(買回),36.4,94.7,11,4,210384.0,-0.03,481.0,49919.0,1.86
2025-11-14,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,47.95,93.4,2,1,51111.0,-4.98,98.0,0.0,
2025-11-17,[網格1] 停損平倉(做多配對),停損平倉: 做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,平倉(買回),平倉(賣出),46.05,91.8,2,1,49653.0,-3.77,97.0,4303.0,-4.98
2026-01-30,[網格1] 開倉(做空配對),做多8150.TW(N/A) 13口 / 做空3006.TW(N/A) 4口,做多,做空,60.2,195.0,13,4,421902.0,3.06,573.0,0.0,
2026-03-05,[網格1] 停利平倉(做空配對),停利平倉: 做多8150.TW(N/A) 13口 / 做空3006.TW(N/A) 4口,平倉(賣出),平倉(買回),62.9,148.0,13,4,380619.0,-0.3,566.0,445634.0,3.06
2026-03-18,[網格1] 開倉(做空配對),做多8150.TW(N/A) 10口 / 做空3006.TW(N/A) 3口,做多,做空,64.6,213.5,10,3,347355.0,2.21,441.0,0.0,
2026-04-08,[網格1] 停利平倉(做空配對),停利平倉: 做多8150.TW(N/A) 10口 / 做空3006.TW(N/A) 3口,平倉(賣出),平倉(買回),60.9,160.5,10,3,294435.0,-0.14,434.0,243566.0,2.21
2026-05-29,[網格1] 開倉(做多配對),做空8150.TW(N/A) 11口 / 做多3006.TW(N/A) 5口,做空,做多,111.57,245.34,11,5,662589.0,-2.27,578.0,0.0,
2026-06-02,[網格1] 停利平倉(做多配對),停利平倉: 做空8150.TW(N/A) 11口 / 做多3006.TW(N/A) 5口,平倉(買回),平倉(賣出),97.36,266.24,11,5,648577.0,0.1,576.0,521241.0,-2.27
2026-07-01,[網格1] 開倉(做多配對),做空8150.TW(N/A) 2口 / 做多3006.TW(N/A) 1口,做空,做多,107.0,212.0,2,1,115020.0,-2.34,107.0,0.0,
