日期,動作,1513.TW價,6414.TW價,Z-Score,交易成本,損益
2021-09-08,開倉-多Spread,39.72890090942383,155.0436553955078,-2.100310400035851,67.79090225219727,0.0
2021-11-01,平倉-多Spread,37.12445068359375,162.7377166748047,0.5556301401924584,67.99448669433593,20529.02852355957
2021-11-03,開倉-空Spread,36.329872131347656,180.15872192382807,3.0826775558696466,68.65954376220702,0.0
2022-01-21,平倉-空Spread,37.34516525268555,192.5981903076172,-0.08891593707854097,69.19773422241211,-22917.54825912487
2022-02-24,開倉-多Spread,36.37401580810547,168.202392578125,-2.1806374487695455,68.18305633544922,0.0
2022-04-20,平倉-多Spread,50.85299682617188,187.46221923828125,0.10336545879114951,69.53260864257813,9492.158675537095
2022-06-06,開倉-空Spread,44.14322280883789,184.46624755859372,2.7454495655296403,69.14437881469726,0.0
2022-06-20,平倉-空Spread,41.406341552734375,168.202392578125,-0.3277826117025018,68.38434936523437,26985.563099365176
2022-08-05,開倉-空Spread,53.68427276611328,205.162841796875,2.5812747466161228,70.35388458251953,0.0
2022-08-29,平倉-空Spread,59.91797256469727,190.12936401367188,-0.9165998941105894,70.00189346313476,42464.353270111096
2022-09-07,開倉-多Spread,59.35973358154297,173.3272247314453,-2.552212372065096,69.30747833251954,0.0
2022-11-08,平倉-多Spread,49.21833801269531,173.3272247314453,0.0395882660740034,68.90182250976562,20213.88931518555
2023-03-24,開倉-空Spread,89.22566986083984,223.73361206054688,2.381215531363937,72.51837127685548,0.0
2023-04-12,平倉-空Spread,106.99639129638672,228.1552276611328,-0.47995075140396903,73.40606475830079,26624.805605163576
2023-05-12,開倉-空Spread,97.22714233398438,239.6514129638672,2.2264665082605033,73.47514221191406,0.0
2023-06-16,平倉-空Spread,119.09162902832033,240.97789001464844,-1.2252855249902679,74.40278076171876,41001.61650634769
2023-07-25,開倉-空Spread,106.37037658691406,271.92919921875,2.6859810334272765,75.13198303222657,0.0
2023-08-10,平倉-空Spread,108.75536346435548,242.64971923828125,-0.601232798711526,74.05620330810547,63254.877512512234
2023-11-16,開倉-空Spread,98.26142120361328,255.59103393554688,2.050244707181597,74.15409820556641,0.0
2023-11-27,平倉-空Spread,113.52533721923828,251.43133544921875,-0.7622097949990538,74.59826690673827,38772.63073699951
2023-12-05,開倉-多Spread,123.54227447509766,246.80941772460935,-2.3735509068043394,74.81406768798828,0.0
2024-01-30,平倉-多Spread,113.04833984375,251.43133544921875,0.1629607489400362,74.57918701171874,30157.125524902403
2024-02-29,開倉-多Spread,163.13304138183594,276.3895874023437,-3.6174142765553734,77.58090515136718,0.0
2024-03-20,平倉-多Spread,168.85702514648438,306.4319152832031,1.0666019190659553,79.01155761718749,48557.6766748048
2024-03-28,開倉-空Spread,168.85702514648438,322.60858154296875,2.460655344081997,79.65862426757812,0.0
2024-04-11,平倉-空Spread,184.1209259033203,311.97821044921875,-0.09053732711757466,79.84396545410156,51708.699735717775
2024-07-10,開倉-多Spread,221.75714111328125,319.3732604980469,-2.732281323585872,81.64521606445312,0.0
2024-08-13,平倉-多Spread,165.83154296875,287.5003356933594,0.052958327966208585,78.13327514648438,48027.21340454101
2024-10-16,開倉-空Spread,158.5369110107422,292.29998779296875,2.3573711769338286,78.03347595214844,0.0
2024-12-16,平倉-空Spread,145.89285278320312,270.70147705078125,-0.5209226973288612,76.66377319335938,17832.241256103516
2025-01-13,開倉-多Spread,148.32440185546875,268.7816162109375,-2.7518993199419275,76.68424072265626,0.0
2025-02-05,平倉-多Spread,146.865478515625,287.5003356933594,0.9599383089390758,77.37463256835937,40277.91101196289
2025-02-07,開倉-空Spread,147.83810424804688,296.61968994140625,2.056375315127118,77.77831176757813,0.0
2025-03-13,平倉-空Spread,139.57083129882812,278.86090087890625,-0.1012302335852916,76.73726928710937,18906.29495727539
2025-04-09,開倉-多Spread,103.58393096923828,207.8257751464844,-2.904198768337615,72.45638824462891,0.0
2025-05-20,平倉-多Spread,145.40655517578125,287.0203552246094,0.21296537025933487,77.29707641601563,74666.61466674799
2025-07-17,開倉-空Spread,159.99583435058594,307.0,2.0069973937938044,78.67983337402345,0.0
2025-09-04,平倉-空Spread,166.5,307.5,-0.14785955088910216,78.96,11929.371298828126
2025-10-14,開倉-多Spread,155.0,284.0,-2.421598960195422,77.56,0.0
2025-10-29,平倉-多Spread,148.0,296.0,0.5475507246981839,77.76,37922.24
2025-11-04,開倉-多Spread,153.0,281.5,-2.097240340580177,77.38,0.0
2025-11-17,平倉-多Spread,145.0,297.0,1.4097037196661573,77.68,46922.32
2025-12-18,開倉-空Spread,144.5,296.5,2.3679124006785917,77.64,0.0
2025-12-30,平倉-空Spread,151.0,288.5,-0.4647788268592605,77.58,28922.42
2026-01-20,開倉-多Spread,176.5,296.0,-3.2834451788128978,78.9,0.0
2026-03-31,平倉-多Spread,143.0,271.0,0.43855034610816784,76.56,16923.44
