Pair,Stock1,Stock2,Price_Corr,Coint_pvalue,Coint_score
2474.TW-9939.TW,2474.TW,9939.TW,0.9476099408715638,0.0027498063256121133,-4.280065726836418
2404.TW-2328.TW,2404.TW,2328.TW,0.8663516139395481,0.002889561117599763,-4.266151339944119
2439.TW-1319.TW,2439.TW,1319.TW,0.8565551982633353,0.0029057229556281533,-4.264582424477835
0050.TW-3653.TW,0050.TW,3653.TW,0.9662760685301697,0.0029131603505902193,-4.263863135176047
1718.TW-1314.TW,1718.TW,1314.TW,0.9329660062588608,0.0029173376412915527,-4.263459880058956
1504.TW-6139.TW,1504.TW,6139.TW,0.8782270909419082,0.002931381658727539,-4.2621080270551515
1609.TW-6188.TWO,1609.TW,6188.TWO,0.9133312295362237,0.0030091817088079434,-4.254725419398627
00687B.TWO-8044.TWO,00687B.TWO,8044.TWO,0.8993029336334953,0.0030724936413503534,-4.248846133484612
8039.TW-8299.TWO,8039.TW,8299.TWO,0.9040051888663434,0.0031252593281897822,-4.244030731188014
1210.TW-3078.TWO,1210.TW,3078.TWO,0.8909594757180368,0.003125792040296697,-4.243982498205373
00679B.TWO-8044.TWO,00679B.TWO,8044.TWO,0.9021404352909973,0.0031516770039551256,-4.241647873264417
3045.TW-2312.TW,3045.TW,2312.TW,0.8561527373694681,0.0031840817230418613,-4.23874994041587
3293.TWO-3045.TW,3293.TWO,3045.TW,0.948681403057211,0.003191700031307719,-4.238072577712462
6290.TWO-2345.TW,6290.TWO,2345.TW,0.9312100425327008,0.003335096254713912,-4.225592453027658
6239.TW-8112.TW,6239.TW,8112.TW,0.8949597475223265,0.003424969396487076,-4.218019533355915
2368.TW-6257.TW,2368.TW,6257.TW,0.9508000002418152,0.0035707200849946392,-4.206117557431537
2439.TW-9939.TW,2439.TW,9939.TW,0.8839702746658821,0.0036383561698292988,-4.200745110427494
2421.TW-2301.TW,2421.TW,2301.TW,0.9595109371593388,0.003679748279744735,-4.1975022614929545
6505.TW-1326.TW,6505.TW,1326.TW,0.9842280425973539,0.0036839121637504547,-4.1971778972126375
3211.TWO-2328.TW,3211.TWO,2328.TW,0.8979915004391221,0.0037185960892702967,-4.194489020804019
2515.TW-3324.TWO,2515.TW,3324.TWO,0.88284112994146,0.0037193916726469085,-4.194427613182168
2357.TW-3045.TW,2357.TW,3045.TW,0.925879390257075,0.0038608266275256837,-4.183697597072205
6669.TW-2404.TW,6669.TW,2404.TW,0.9089417170845826,0.0041319274793302115,-4.164099917421297
3017.TW-6139.TW,3017.TW,6139.TW,0.9711882829374641,0.004146020101952256,-4.163113661311954
2360.TW-4958.TW,2360.TW,4958.TW,0.8954475300767,0.00421091972603459,-4.158610929494996
2408.TW-2344.TW,2408.TW,2344.TW,0.9905442062142893,0.004218538891201357,-4.158086480439219
