股票期貨、 選擇權 商品代碼,標的證券,證券代號,標的證券 簡稱,是否為 股票期貨 標的,是否為 股票選擇權 標的,是否為 股票選擇權週契約 標的,上市普通股 標的證券,上櫃普通股 標的證券,上市ETF 標的證券,上櫃ETF 標的證券,標準型證 券股數/ 受益權單位,一般交易時段 交易時間 (期貨、選擇權契約),盤後交易時段 交易時間 (期貨契約)
UM,世芯電子股份有限公司,3661,世芯-KY,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
UO,世芯電子股份有限公司,3661,世芯-KY,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
UP,保瑞藥業股份有限公司,6472,保瑞,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
UQ,保瑞藥業股份有限公司,6472,保瑞,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
UR,統一NYSE FANG+ ETF證券投資信託基金,00757,統一FANG+ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,10000.0,8:45~16:15,-
US,統一NYSE FANG+ ETF證券投資信託基金,00757,統一FANG+ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,1000.0,8:45~16:15,-
UT,一詮精密工業股份有限公司,2486,一詮,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
UU,台灣虎航股份有限公司,6757,台灣虎航,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
UV,旺矽科技股份有限公司,6223,旺矽,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
UW,旺矽科技股份有限公司,6223,旺矽,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
UX,華泰電子股份有限公司,2329,華泰,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
UY,良維科技股份有限公司,6290,良維,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
UZ,漢唐集成股份有限公司,2404,漢唐,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
VA,華榮電線電纜股份有限公司,1608,華榮,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
VB,燿華電子股份有限公司,2367,燿華,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
VC,建準電機工業股份有限公司,2421,建準,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
VD,致茂電子股份有限公司,2360,致茂,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
VE,貿聯控股,3665,貿聯-KY,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
VF,貿聯控股,3665,貿聯-KY,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
VG,金像電子股份有限公司,2368,金像電,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
VH,富邦台灣科技指數證券投資信託基金,0052,富邦科技ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,10000.0,8:45~13:45,-
,標的合計數：,,,313,35,7,230,59,19,5,,,
