股票期貨、 選擇權 商品代碼,標的證券,證券代號,標的證券 簡稱,是否為 股票期貨 標的,是否為 股票選擇權 標的,是否為 股票選擇權週契約 標的,上市普通股 標的證券,上櫃普通股 標的證券,上市ETF 標的證券,上櫃ETF 標的證券,標準型證 券股數/ 受益權單位,一般交易時段 交易時間 (期貨、選擇權契約),盤後交易時段 交易時間 (期貨契約)
NO,中美矽晶製品股份有限公司,5483,中美晶,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
NQ,新普科技股份有限公司,6121,新普,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
NS,頎邦科技股份有限公司,6147,頎邦,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
NU,網路家庭國際資訊股份有限公司,8044,網家,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
NV,元太科技工業股份有限公司,8069,元太,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
NW,群聯電子股份有限公司,8299,群聯,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
NY,元大台灣卓越50證券投資信託基金,0050,元大台灣50ETF,●  是股票期貨標的,●  是股票選擇權標的,,,,◎  是上市ETF標的證券,,10000.0,8:45~13:45,17:25~次日05:00
OA,富邦上証180證券投資信託基金,006205,富邦上証ETF,●  是股票期貨標的,●  是股票選擇權標的,,,,◎  是上市ETF標的證券,,10000.0,8:45~16:15,-
OB,元大中國傘型證券投資信託基金之上證50證券投資信託基金,006206,元大上證50ETF,●  是股票期貨標的,●  是股票選擇權標的,,,,◎  是上市ETF標的證券,,10000.0,8:45~16:15,-
OD,為升電裝工業股份有限公司,2231,為升,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
OE,瀚宇彩晶股份有限公司,6116,彩晶,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
OH,胡連精密股份有限公司,6279,胡連,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
OJ,國泰富時中國A50證券投資信託基金,00636,國泰中國A50ETF,●  是股票期貨標的,●  是股票選擇權標的,,,,◎  是上市ETF標的證券,,10000.0,8:45~16:15,-
OK,富邦深証100證券投資信託基金,00639,富邦深100ETF,●  是股票期貨標的,●  是股票選擇權標的,,,,◎  是上市ETF標的證券,,10000.0,8:45~16:15,-
OL,大立光電股份有限公司,3008,大立光,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
OM,精華光學股份有限公司,1565,精華,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
OO,群益深証中小板證券投資信託基金,00643,群益深証中小ETF,●  是股票期貨標的,●  是股票選擇權標的,,,,◎  是上市ETF標的證券,,10000.0,8:45~16:15,-
OP,智邦科技股份有限公司,2345,智邦,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
OQ,樺漢科技股份有限公司,6414,樺漢,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
OR,和大工業股份有限公司,1536,和大,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
OS,榮成紙業股份有限公司,1909,榮成,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
OT,聯亞光電工業股份有限公司,3081,聯亞,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
OU,同致電子企業股份有限公司,3552,同致,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
OV,台燿科技股份有限公司,6274,台燿,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
OW,環球晶圓股份有限公司,6488,環球晶,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
OX,中華精測科技股份有限公司,6510,精測,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
OY,中華精測科技股份有限公司,6510,精測,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
OZ,日月光投資控股股份有限公司,3711,日月光投控,●  是股票期貨標的,●  是股票選擇權標的,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
PA,原相科技股份有限公司,3227,原相,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PB,環球晶圓股份有限公司,6488,環球晶,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
PC,智擎生技製藥股份有限公司,4162,智擎,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PD,泰博科技股份有限公司,4736,泰博,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
PE,台灣半導體股份有限公司,5425,台半,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PF,元大台灣高股息證券投資信託基金,0056,元大高股息ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,10000.0,8:45~13:45,-
PG,台灣高速鐵路股份有限公司,2633,台灣高鐵,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
PH,祥碩科技股份有限公司,5269,祥碩,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
PI,力旺電子股份有限公司,3529,力旺,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PJ,台光電子材料股份有限公司,2383,台光電,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
PK,信昌電子陶瓷股份有限公司,6173,信昌電,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PL,合晶科技股份有限公司,6182,合晶,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PM,大江生醫股份有限公司,8436,大江,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PN,祥碩科技股份有限公司,5269,祥碩,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
PP,宣德科技股份有限公司,5457,宣德,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PQ,金居開發股份有限公司,8358,金居,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PR,宏捷科技股份有限公司,8086,宏捷科,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PS,神達控股股份有限公司,3706,神達,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
PT,雙鴻科技股份有限公司,3324,雙鴻,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PU,聯發科技股份有限公司,2454,聯發科,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
PV,緯穎科技服務股份有限公司,6669,緯穎,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
PW,緯穎科技服務股份有限公司,6669,緯穎,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
PX,鈊象電子股份有限公司,3293,鈊象,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
PY,鈊象電子股份有限公司,3293,鈊象,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
PZ,信驊科技股份有限公司,5274,信驊,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
QA,信驊科技股份有限公司,5274,信驊,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
QB,富采控股股份有限公司,3714,富采,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
QC,裕民航運股份有限公司,2606,裕民,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
QD,台塑勝高科技股份有限公司,3532,台勝科,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
QE,國巨股份有限公司,2327,國巨*,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
QF,台灣積體電路製造股份有限公司,2330,台積電,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,17:25~次日05:00
QG,瑞昱半導體股份有限公司,2379,瑞昱,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
QH,聯詠科技股份有限公司,3034,聯詠,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
QI,穩懋半導體股份有限公司,3105,穩懋,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
QJ,玉晶光電股份有限公司,3406,玉晶光,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
QK,永豐餘投資控股股份有限公司,1907,永豐餘,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
QL,精材科技股份有限公司,3374,精材,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
QM,上銀科技股份有限公司,2049,上銀,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
QN,群聯電子股份有限公司,8299,群聯,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
QO,長興材料工業股份有限公司,1717,長興,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
QP,正隆股份有限公司,1904,正隆,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
QQ,僑威科技股份有限公司,3078,僑威,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
QR,華碩電腦股份有限公司,2357,華碩,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
QS,南亞電路板股份有限公司,8046,南電,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
QT,超豐電子股份有限公司,2441,超豐,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
QU,南茂科技股份有限公司,8150,南茂,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
QV,台灣光罩股份有限公司,2338,光罩,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
