Config,Return(%),MDD(%),Sharpe
1_ZScore_Standard,14.667609515792845,2.5438446159772186,0.674431373157648
2_ZScore_Aggressive,18.337532066497864,3.1162552091109124,0.7829070884262169
3_OU_Process_Standard,8.336017100997939,2.68107567170347,0.39254979262615514
4_OU_Process_Fast,12.190040698944117,2.6547120073282167,0.5518661606893456
5_GARCH_Standard,12.599260878204488,2.5945104097647955,0.5940949012172585
6_GARCH_Conservative,8.765747996902483,2.177646027188252,0.44113149181904904
7_Kalman_Standard,14.066585541732879,1.0504236965210214,1.207050199762327
8_Kalman_Aggressive,22.89167969651802,1.6229881340645884,1.601748693210789
9_Copula_Standard,2.7731745147094644,3.454020083003405,0.1326718101320231
10_Copula_Extreme,-1.8203941868438545,3.98229370836288,-0.08787412000380859
