Date,Price1,Price2,Indicator,Position,Upper,Lower,Equity,Action
2013-02-22,56.59709548950195,56.25621032714844,-23.250619672702285,0,-22.479530775566207,-26.046318283151354,1000000.0,
2013-02-25,57.14392852783203,56.25621032714844,-24.0188032877939,0,-22.504573576150296,-26.05189004505024,1000000.0,
2013-02-26,57.41734313964844,56.01424407958984,-24.644858663480896,0,-22.726117668413302,-25.984979379719235,1000000.0,
2013-02-27,56.59709548950195,55.77228164672852,-23.7345483531222,0,-22.68841007839903,-26.010177547133907,1000000.0,
2013-03-01,56.59709548950195,55.89326858520508,-23.613561414645645,0,-22.603899958710507,-25.933190007796313,1000000.0,
2013-03-04,56.87050247192383,55.46982955932617,-24.421078850983264,0,-22.55319301254203,-25.930837902917744,1000000.0,
2013-03-05,56.87050247192383,55.46982955932617,-24.421078850983264,0,-22.578882803284376,-25.930699170879993,1000000.0,
2013-03-06,56.87050247192383,55.53033065795898,-24.36057775235046,0,-22.652388569718873,-25.965056005485394,1000000.0,
2013-03-07,57.41734313964844,55.65130233764648,-25.007800405424256,0,-22.66026843306805,-25.966730844649813,1000000.0,
2013-03-08,57.14392852783203,55.832786560058594,-24.442227054883745,0,-22.776097869480466,-26.02918769725347,1000000.0,
2013-03-11,57.14392852783203,55.65130233764648,-24.62371127729586,0,-22.7693695595993,-26.009410384061244,1000000.0,
2013-03-12,56.87050247192383,56.01424407958984,-23.8766643307196,0,-22.813264771528786,-26.029713036097327,1000000.0,
2013-03-13,57.41734313964844,56.0747299194336,-24.584372823637132,0,-22.736576681488746,-25.98883807193877,1000000.0,
2013-03-14,56.59709548950195,55.89326858520508,-23.613561414645645,0,-22.769106218193702,-25.900327110361207,1000000.0,
2013-03-15,57.14392852783203,56.25621032714844,-24.0188032877939,0,-22.73864488250474,-25.76403245609239,1000000.0,
2013-03-18,56.323673248291016,55.832786560058594,-23.289943593994053,0,-22.78484296457296,-25.647609648665636,1000000.0,
2013-03-19,55.77684020996094,55.832786560058594,-22.521759978902438,-1,-22.80265526118463,-25.461535241888594,999935.5356149292,Short Spread
2013-03-20,55.230018615722656,55.65130233764648,-21.935076662727447,-1,-22.615440428222332,-25.467927189779086,999204.8608712768,
2013-03-21,54.95660400390625,55.65130233764648,-21.550987534599052,-1,-22.26023285906628,-25.659381483229648,998658.031647644,
