Date,Price1,Price2,Indicator,Position,Upper,Lower,Equity,Action
2013-03-08,57.14392852783203,55.832786560058594,-0.2640819839812482,0,1.5,-1.5,1000000.0,
2013-03-11,57.14392852783203,55.65130233764648,-0.47974884177297794,0,1.5,-1.5,1000000.0,
2013-03-12,56.87050247192383,56.01424407958984,0.5522178978271866,0,1.5,-1.5,1000000.0,
2013-03-13,57.41734313964844,56.0747299194336,-0.3733747737938432,0,1.5,-1.5,1000000.0,
2013-03-14,56.59709548950195,55.89326858520508,1.0031406067839002,0,1.5,-1.5,1000000.0,
2013-03-15,57.14392852783203,56.25621032714844,0.3941350654455076,0,1.5,-1.5,1000000.0,
2013-03-18,56.323673248291016,55.832786560058594,1.3692126764708614,0,1.5,-1.5,1000000.0,
2013-03-19,55.77684020996094,55.832786560058594,2.2254894743396347,-1,1.5,-1.5,999935.5356149292,Short Spread
2013-03-20,55.230018615722656,55.65130233764648,2.669518183354855,-1,1.5,-1.5,999204.8608712768,
2013-03-21,54.95660400390625,55.65130233764648,2.741625899822736,-1,1.5,-1.5,998658.031647644,
2013-03-22,54.95660400390625,55.65130233764648,2.484606147064571,-1,1.5,-1.5,998658.031647644,
2013-03-25,55.230018615722656,55.7117919921875,1.9997427235965513,-1,1.5,-1.5,999083.8815621948,
2013-03-26,55.77684020996094,55.77228164672852,1.2785309082764105,-1,1.5,-1.5,1000056.5454415893,
2013-03-27,55.230018615722656,55.7117919921875,1.7921644165805337,-1,1.5,-1.5,999083.8815621948,
2013-03-28,55.230018615722656,55.77228164672852,1.7335134323046166,-1,1.5,-1.5,998962.9022531128,
2013-03-29,55.5034294128418,56.13523864746094,1.6258563235047767,-1,1.5,-1.5,998783.8098458862,
2013-04-01,56.323673248291016,56.25621032714844,0.7009017070722039,-1,1.5,-1.5,1000182.3541574096,
2013-04-02,56.87050247192383,56.31669998168945,0.03035449220029612,-1,1.5,-1.5,1001155.0332955932,
2013-04-03,55.77684020996094,56.31669998168945,1.3796559752407147,-1,1.5,-1.5,998967.7087716674,
2013-04-08,55.5034294128418,55.832786560058594,1.2307668273393422,-1,1.5,-1.5,999388.7140206909,
2013-04-09,54.95660400390625,55.832786560058594,1.8265322152501209,-1,1.5,-1.5,998295.0632028198,
2013-04-10,53.972293853759766,55.832786560058594,2.734940187158869,-1,1.5,-1.5,996326.4429025268,
2013-04-11,54.57381820678711,56.19571304321289,2.1299409363134507,-1,1.5,-1.5,996803.6386422729,
2013-04-12,54.95660400390625,56.37718963623047,1.7259367117330247,-1,1.5,-1.5,997206.257050476,
2013-04-15,55.77684020996094,56.43768310546875,0.857495553867589,-1,1.5,-1.5,998725.7425241088,
2013-04-16,56.323673248291016,56.61914825439453,0.38097547966109097,-1,1.5,-1.5,999456.4783029174,
2013-04-17,56.323673248291016,56.61914825439453,0.3690058719440002,-1,1.5,-1.5,999456.4783029174,
2013-04-18,55.77684020996094,56.37718963623047,0.7348744048139877,-1,1.5,-1.5,998846.7294625854,
2013-04-19,56.87050247192383,56.61914825439453,-0.28852181081189887,0,1.5,-1.5,1000485.597164154,Close
2013-04-22,56.87050247192383,56.74013519287109,-0.21078759032011896,0,1.5,-1.5,1000485.597164154,
