Date,Price1,Price2,Indicator,Position,Upper,Lower,Equity,Action
2013-04-10,53.972293853759766,55.832786560058594,2.0285071577458935,-1,1.5,-1.5,999935.6077967834,Short Spread
2013-04-11,54.57381820678711,56.19571304321289,-0.49405168342946115,0,1.5,-1.5,1000348.3727552795,Close
2013-04-12,54.95660400390625,56.37718963623047,-0.41279261032343606,0,1.5,-1.5,1000348.3727552795,
2013-04-15,55.77684020996094,56.43768310546875,-1.5068929653146896,1,1.5,-1.5,1000283.8841743469,Long Spread
2013-04-16,56.323673248291016,56.61914825439453,-0.70250496978689,1,1.5,-1.5,999553.1483955383,
2013-04-17,56.323673248291016,56.61914825439453,-0.002201822245576694,1,1.5,-1.5,999553.1483955383,
2013-04-18,55.77684020996094,56.37718963623047,0.5849326615387189,0,1.5,-1.5,1000098.4110746766,Close
2013-04-19,56.87050247192383,56.61914825439453,-1.5700751347541457,1,1.5,-1.5,1000033.8714886475,Long Spread
2013-04-22,56.87050247192383,56.74013519287109,0.22050630446294853,0,1.5,-1.5,1000211.300940094,Close
2013-04-23,57.14392852783203,56.80063247680664,-0.38396113894223644,0,1.5,-1.5,1000211.300940094,
2013-04-24,56.87050247192383,56.74013519287109,0.38817577233884704,0,1.5,-1.5,1000211.300940094,
2013-04-25,56.87050247192383,56.74013519287109,0.001192543001460534,0,1.5,-1.5,1000211.300940094,
2013-04-26,56.87050247192383,56.92159652709961,0.3428133330490461,0,1.5,-1.5,1000211.300940094,
2013-04-29,58.23759078979492,57.16355895996094,-1.9361984515914412,1,1.5,-1.5,1000146.684894104,Long Spread
2013-04-30,58.784423828125,56.74013519287109,-1.6100025650270093,1,1.5,-1.5,998206.1712832642,
2013-05-02,59.33125686645508,57.46601104736328,0.34011651329126297,0,1.5,-1.5,998499.5850248719,Close
2013-05-03,60.15150451660156,57.587005615234375,-1.0524580763715479,0,1.5,-1.5,998499.5850248719,
2013-05-06,59.87808227539063,57.52650833129883,0.31548997780050747,0,1.5,-1.5,998499.5850248719,
2013-05-07,59.05783462524414,57.52650833129883,1.3151411945591107,0,1.5,-1.5,998499.5850248719,
2013-05-08,59.87808227539063,57.889442443847656,-0.7217781023924835,0,1.5,-1.5,998499.5850248719,
2013-05-09,60.15150451660156,58.0709342956543,-0.1348525939792406,0,1.5,-1.5,998499.5850248719,
2013-05-10,60.15150451660156,58.0709342956543,-0.00038047017574394787,0,1.5,-1.5,998499.5850248719,
2013-05-13,60.15150451660156,58.01043701171875,-0.10638392648748055,0,1.5,-1.5,998499.5850248719,
2013-05-14,60.15150451660156,58.0709342956543,0.10781289733081453,0,1.5,-1.5,998499.5850248719,
2013-05-15,64.25274658203125,58.79681396484375,-4.207590956526785,1,1.5,-1.5,998434.66304245,Long Spread
2013-05-16,63.97933197021485,58.97828674316406,0.5704114408431857,0,1.5,-1.5,999279.5195179748,Close
2013-05-17,63.15908050537109,58.97828674316406,1.050891751695161,0,1.5,-1.5,999279.5195179748,
2013-05-20,62.612247467041016,58.97828674316406,0.7204455071043611,0,1.5,-1.5,999279.5195179748,
2013-05-21,62.33883666992188,59.34122085571289,0.8906296331987905,0,1.5,-1.5,999279.5195179748,
2013-05-22,62.06541061401367,59.4017219543457,0.4629811134335764,0,1.5,-1.5,999279.5195179748,
2013-05-23,62.06541061401367,59.03877258300781,-0.5315415234133625,0,1.5,-1.5,999279.5195179748,
2013-05-24,61.7920036315918,58.373382568359375,-0.6150216410221293,0,1.5,-1.5,999279.5195179748,
2013-05-27,62.33883666992188,58.67584228515625,-0.2939079741336012,0,1.5,-1.5,999279.5195179748,
2013-05-28,62.88565826416016,58.67584228515625,-0.7257586923101134,0,1.5,-1.5,999279.5195179748,
2013-05-29,63.15908050537109,58.736328125,-0.27119653712195296,0,1.5,-1.5,999279.5195179748,
2013-05-30,59.87808227539063,57.8289680480957,3.0287806346401274,-1,1.5,-1.5,999214.8112359619,Short Spread
2013-05-31,59.87808227539063,57.76847839355469,-0.08140236942802827,0,1.5,-1.5,999271.0846826171,Close
2013-06-03,59.87808227539063,57.46601104736328,-0.4485752828577803,0,1.5,-1.5,999271.0846826171,
2013-06-04,58.784423828125,57.40553665161133,1.4416360853693893,0,1.5,-1.5,999271.0846826171,
2013-06-05,59.05783462524414,57.16355895996094,-0.7455342822959595,0,1.5,-1.5,999271.0846826171,
2013-06-06,59.60466766357422,57.16355895996094,-0.750917329074532,0,1.5,-1.5,999271.0846826171,
2013-06-07,60.698333740234375,57.46601104736328,-1.0052556705674942,0,1.5,-1.5,999271.0846826171,
2013-06-10,60.698333740234375,57.587005615234375,0.1694375152113047,0,1.5,-1.5,999271.0846826171,
2013-06-11,60.4249153137207,57.587005615234375,0.36209521287403335,0,1.5,-1.5,999271.0846826171,
2013-06-13,57.14392852783203,57.16355895996094,3.6534814537641265,-1,1.5,-1.5,999206.5123831176,Short Spread
2013-06-14,60.15150451660156,57.22405624389648,-3.2526491255577294,0,1.5,-1.5,1005035.9747703552,Close
2013-06-17,60.698333740234375,57.587005615234375,-0.15969510810004664,0,1.5,-1.5,1005035.9747703552,
2013-06-18,61.24516296386719,58.0709342956543,-0.010324649776674476,0,1.5,-1.5,1005035.9747703552,
2013-06-19,61.24516296386719,57.889442443847656,-0.20630995826714998,0,1.5,-1.5,1005035.9747703552,
2013-06-20,61.518585205078125,57.647491455078125,-0.5486166904930909,0,1.5,-1.5,1005035.9747703552,
2013-06-21,59.60466766357422,57.46601104736328,1.7648602653489178,-1,1.5,-1.5,1004971.2919432067,Short Spread
2013-06-24,60.698333740234375,57.52650833129883,-1.0415329874312302,0,1.5,-1.5,1006972.900534973,Close
2013-06-25,60.97175598144531,57.76847839355469,-0.006479432409287956,0,1.5,-1.5,1006972.900534973,
2013-06-26,60.698333740234375,57.647491455078125,0.13925219835639766,0,1.5,-1.5,1006972.900534973,
2013-06-27,60.698333740234375,58.01043701171875,0.4065015735889465,0,1.5,-1.5,1006972.900534973,
2013-06-28,64.79956817626953,61.70037078857422,-0.020173020999709645,0,1.5,-1.5,1006972.900534973,
2013-07-01,62.06541061401367,59.2807502746582,0.05776285932213037,0,1.5,-1.5,1006972.900534973,
2013-07-02,62.88565826416016,59.22025680541992,-0.8558995908998294,0,1.5,-1.5,1006972.900534973,
2013-07-03,62.612247467041016,59.15975570678711,0.19512647892340865,0,1.5,-1.5,1006972.900534973,
2013-07-04,62.612247467041016,59.34122085571289,0.196669300459604,0,1.5,-1.5,1006972.900534973,
2013-07-05,63.97933197021485,60.006629943847656,-0.5915380878683878,0,1.5,-1.5,1006972.900534973,
2013-07-08,63.69242477416992,59.70417404174805,-0.05194146866775587,0,1.5,-1.5,1006972.900534973,
2013-07-09,62.83172225952149,60.12761688232422,1.2780008519548725,0,1.5,-1.5,1006972.900534973,
2013-07-10,62.83172225952149,60.12761688232422,0.003246714721724476,0,1.5,-1.5,1006972.900534973,
2013-07-11,63.69242477416992,60.36958312988281,-0.5678307624117818,0,1.5,-1.5,1006972.900534973,
2013-07-12,63.40550994873047,60.49055480957031,0.4011072786054396,0,1.5,-1.5,1006972.900534973,
2013-07-15,63.69242477416992,60.4300537109375,-0.3363583264467187,0,1.5,-1.5,1006972.900534973,
2013-07-16,63.69242477416992,60.36958312988281,-0.0652533447651218,0,1.5,-1.5,1006972.900534973,
2013-07-17,63.40550994873047,57.70798873901367,-2.456914480886252,1,1.5,-1.5,1006908.0559950256,Long Spread
2013-07-18,63.69242477416992,57.889442443847656,-0.07220434664044266,1,1.5,-1.5,1006697.1337538146,
2013-07-19,63.40550994873047,57.76847839355469,0.12818100005098143,0,1.5,-1.5,1006964.188344574,Close
2013-07-22,64.26622772216797,58.373382568359375,-0.13518705628193858,0,1.5,-1.5,1006964.188344574,
2013-07-23,66.56146240234375,58.494361877441406,-1.6786662901403464,1,1.5,-1.5,1006899.1861116028,Long Spread
2013-07-24,64.26622772216797,57.94994735717773,1.3117695083603076,0,1.5,-1.5,1010335.9377844238,Close
2013-07-25,62.54480743408203,57.8289680480957,1.3634017066244744,0,1.5,-1.5,1010335.9377844238,
2013-07-26,63.11862182617188,57.8289680480957,-0.4935902640310711,0,1.5,-1.5,1010335.9377844238,
2013-07-29,62.25791549682617,57.889442443847656,0.8179557115017804,0,1.5,-1.5,1010335.9377844238,
2013-07-30,62.83172225952149,57.76847839355469,-0.6208538325050328,0,1.5,-1.5,1010335.9377844238,
2013-07-31,62.54480743408203,58.01043701171875,0.49571698750177906,0,1.5,-1.5,1010335.9377844238,
2013-08-01,63.11862182617188,57.40553665161133,-1.091659775223501,0,1.5,-1.5,1010335.9377844238,
2013-08-02,63.11862182617188,57.46601104736328,0.05712844177182576,0,1.5,-1.5,1010335.9377844238,
2013-08-05,62.54480743408203,57.587005615234375,0.6134281799237891,0,1.5,-1.5,1010335.9377844238,
