Date,Price1,Price2,Indicator,Position,Upper,Lower,Equity,Action
2013-04-10,53.972293853759766,55.832786560058594,-19.986757800284465,-1,-20.95099029598922,-26.143433629242708,999935.6077967834,Short Spread
2013-04-11,54.57381820678711,56.19571304321289,-20.46884454728412,-1,-20.133037933376446,-26.490888809301136,1000412.8035365295,
2013-04-12,54.95660400390625,56.37718963623047,-20.82510023601506,-1,-20.2704860547071,-26.515487818083457,1000815.4219447327,
2013-04-15,55.77684020996094,56.43768310546875,-21.91686343349228,-1,-19.977446908386522,-26.344085402423733,1002334.9074183655,
2013-04-16,56.323673248291016,56.61914825439453,-22.503581899658116,-1,-20.316618976469588,-26.162128159105013,1003065.6431971741,
2013-04-17,56.323673248291016,56.61914825439453,-22.503581899658116,-1,-20.412917640456875,-26.187532133916555,1003065.6431971741,
2013-04-18,55.77684020996094,56.37718963623047,-21.977356902730563,-1,-20.387958580483428,-26.119442938075473,1002455.894356842,
2013-04-19,56.87050247192383,56.61914825439453,-23.271760155914905,-1,-20.261545734275675,-26.232681419709078,1004159.3016444397,
2013-04-22,56.87050247192383,56.74013519287109,-23.15077321743835,-1,-20.451826585093507,-26.246546031443437,1003917.3277674866,
2013-04-23,57.14392852783203,56.80063247680664,-23.474381138135698,-1,-20.476459145333482,-26.29402919280992,1004343.1853114319,
2013-04-24,56.87050247192383,56.74013519287109,-23.15077321743835,-1,-20.463180501935657,-26.251833336804896,1003917.3277674866,
2013-04-25,56.87050247192383,56.74013519287109,-23.15077321743835,-1,-20.42586720872934,-26.21715936093047,1003917.3277674866,
2013-04-26,56.87050247192383,56.92159652709961,-22.969311883209826,-1,-20.398312928279275,-26.08167549413521,1003554.4050990295,
2013-04-29,58.23759078979492,57.16355895996094,-24.64781652632982,0,-20.41728918310501,-25.83371904118051,1005740.040823059,Close
2013-04-30,58.784423828125,56.74013519287109,-25.839423908511286,0,-20.54561595655536,-25.934996796362384,1005740.040823059,
2013-05-02,59.33125686645508,57.46601104736328,-25.88173166911072,0,-20.48565020886181,-26.194365687422877,1005740.040823059,
2013-05-03,60.15150451660156,57.587005615234375,-26.913009844459637,1,-20.49570594272221,-26.14565173316098,1005675.3312826537,Long Spread
2013-05-06,59.87808227539063,57.52650833129883,-26.589407282597122,1,-20.235770989995792,-26.850789920895245,1006101.1811972045,
2013-05-07,59.05783462524414,57.52650833129883,-25.437134539377098,1,-20.277199020362506,-27.377715948824704,1007741.6764974975,
2013-05-08,59.87808227539063,57.889442443847656,-26.226473170048294,1,-20.316552625906894,-26.484106228210614,1006827.0494223022,
2013-05-09,60.15150451660156,58.0709342956543,-26.429081164039715,1,-20.19723680184301,-26.943504446263212,1006643.1886434936,
2013-05-10,60.15150451660156,58.0709342956543,-26.429081164039715,1,-20.184666206619546,-27.664101463635937,1006643.1886434936,
2013-05-13,60.15150451660156,58.01043701171875,-26.489578447975262,1,-20.134034106011725,-27.810130462509683,1006522.1940756225,
2013-05-14,60.15150451660156,58.0709342956543,-26.429081164039715,1,-19.997778625596844,-27.629243622323813,1006643.1886434936,
2013-05-15,64.25274658203125,58.79681396484375,-31.464570569785167,1,-20.09258186022825,-28.254052647037803,999892.4638510131,
2013-05-16,63.97933197021485,58.97828674316406,-30.899008663336474,1,-19.843625829491398,-27.566098237451417,1000802.2386312865,
2013-05-17,63.15908050537109,58.97828674316406,-29.74673056128161,0,-42.68420744265219,-101.97125228928249,1002377.8560662841,Close
2013-05-20,62.612247467041016,58.97828674316406,-28.978546946189994,0,-18.825661208135138,-34.45363068161011,1002377.8560662841,
2013-05-21,62.33883666992188,59.34122085571289,-28.231529064347626,0,-19.01972760541529,-32.4751249850797,1002377.8560662841,
2013-05-22,62.06541061401367,59.4017219543457,-27.786922761081897,0,-19.340208491764347,-31.65679266685112,1002377.8560662841,
2013-05-23,62.06541061401367,59.03877258300781,-28.149872132419787,0,-19.413071618197502,-31.339359174506473,1002377.8560662841,
2013-05-24,61.7920036315918,58.373382568359375,-28.431183736609498,0,-19.17749282256237,-31.796443059659772,1002377.8560662841,
