日期,動作,部位描述,1440.TW(N/A)多空,1476.TW(N/A)多空,1440.TW價,1476.TW價,1440.TW口數,1476.TW口數,保證金佔用,Z-Score,交易成本,損益,開倉Z
2022-01-06,[網格1] 開倉(做空配對),做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,做多,做空,22.16,564.68,20,1,272103.0,1.2,670.0,0.0,
2022-01-13,[網格1] 停利平倉(做空配對),停利平倉: 做多1440.TW(N/A) 20口 / 做空1476.TW(N/A) 1口,平倉(賣出),平倉(買回),22.38,534.87,20,1,265260.0,-0.23,669.0,67889.0,1.2
2022-02-07,[網格1] 開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,22.24,517.33,20,1,259802.0,-2.48,668.0,0.0,
2022-02-07,[網格2] 開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,22.24,517.33,20,1,259802.0,-2.48,668.0,0.0,
2022-02-16,[網格1] 結算平倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),21.49,520.84,20,1,0.0,0.05,668.0,36721.0,-2.48
2022-02-16,[網格2] 結算平倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),21.49,520.84,20,1,0.0,0.05,668.0,36721.0,-2.48
2022-02-17,[網格1] 轉倉開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,21.57,516.45,20,1,255947.0,-0.37,668.0,0.0,
2022-02-17,[網格2] 轉倉開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,21.57,516.45,20,1,255947.0,-0.37,668.0,0.0,
2022-02-24,[網格1] 停利平倉(做多配對),停利平倉: 做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),20.37,501.55,20,1,490819.0,0.75,666.0,17763.0,-0.37
2022-03-04,[網格1] 開倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,做空,做多,20.59,484.01,20,1,483761.0,-1.16,666.0,0.0,
2022-03-16,[網格1] 結算平倉(做多配對),做空1440.TW(N/A) 20口 / 做多1476.TW(N/A) 1口,平倉(買回),平倉(賣出),20.5,372.22,20,1,0.0,-1.86,661.0,-220680.0,-1.16
